result_id,frame_utc,num_detections,num_tracks,num_tentative,num_confirmed,num_coasted,num_deleted,num_outputs,num_new_tracks,num_matched_tracks,num_unmatched_detections
1,0.000000000000,0,0,0,0,0,0,0,0,0,0
1,0.000000000000,0,0,0,0,0,0,0,0,0,0
1,0.000000000000,0,0,0,0,0,0,0,0,0,0
1,0.000000000000,0,0,0,0,0,0,0,0,0,0
1,40206.082031250000,157,157,157,0,0,0,0,157,0,157
1,40206.082031250000,157,157,157,0,0,0,0,157,0,157
1,40206.082031250000,157,157,157,0,0,0,0,157,0,157
1,40206.082031250000,157,157,157,0,0,0,0,157,0,157
1,40206.082031250000,202,202,202,0,0,0,0,202,0,202
1,40206.210937500000,179,179,179,0,0,0,0,179,0,179
1,40206.082031250000,198,198,198,0,0,0,0,198,0,198
1,40206.082031250000,198,198,198,0,0,0,0,198,0,198
1,40206.082031250000,198,198,198,0,0,0,0,198,0,198
1,40205.582031250000,294,294,294,0,0,0,0,294,0,294
1,40206.082031250000,198,198,198,0,0,0,0,198,0,198
