new_pulse_index,old_pulse_pos,old_left_index,old_right_index,weight
0,0.00000000,0,0,0.00000000
1,1.97674419,1,2,0.97674419
2,3.95348837,3,4,0.95348837
3,5.93023256,5,6,0.93023256
4,7.90697674,7,8,0.90697674
5,9.88372093,9,10,0.88372093
6,11.86046512,11,12,0.86046512
7,13.83720930,13,14,0.83720930
8,15.81395349,15,16,0.81395349
9,17.79069767,17,18,0.79069767
10,19.76744186,19,20,0.76744186
11,21.74418605,21,22,0.74418605
12,23.72093023,23,24,0.72093023
13,25.69767442,25,26,0.69767442
14,27.67441860,27,28,0.67441860
15,29.65116279,29,30,0.65116279
16,31.62790698,31,32,0.62790698
17,33.60465116,33,34,0.60465116
18,35.58139535,35,36,0.58139535
19,37.55813953,37,38,0.55813953
20,39.53488372,39,40,0.53488372
21,41.51162791,41,42,0.51162791
22,43.48837209,43,44,0.48837209
23,45.46511628,45,46,0.46511628
24,47.44186047,47,48,0.44186047
25,49.41860465,49,50,0.41860465
26,51.39534884,51,52,0.39534884
27,53.37209302,53,54,0.37209302
28,55.34883721,55,56,0.34883721
29,57.32558140,57,58,0.32558140
30,59.30232558,59,60,0.30232558
31,61.27906977,61,62,0.27906977
32,63.25581395,63,64,0.25581395
33,65.23255814,65,66,0.23255814
34,67.20930233,67,68,0.20930233
35,69.18604651,69,70,0.18604651
36,71.16279070,71,72,0.16279070
37,73.13953488,73,74,0.13953488
38,75.11627907,75,76,0.11627907
39,77.09302326,77,78,0.09302326
40,79.06976744,79,80,0.06976744
41,81.04651163,81,82,0.04651163
42,83.02325581,83,84,0.02325581
43,85.00000000,85,85,0.00000000
44,86.97674419,86,87,0.97674419
45,88.95348837,88,89,0.95348837
46,90.93023256,90,91,0.93023256
47,92.90697674,92,93,0.90697674
48,94.88372093,94,95,0.88372093
49,96.86046512,96,97,0.86046512
50,98.83720930,98,99,0.83720930
51,100.81395349,100,101,0.81395349
52,102.79069767,102,103,0.79069767
53,104.76744186,104,105,0.76744186
54,106.74418605,106,107,0.74418605
55,108.72093023,108,109,0.72093023
56,110.69767442,110,111,0.69767442
57,112.67441860,112,113,0.67441860
58,114.65116279,114,115,0.65116279
59,116.62790698,116,117,0.62790698
60,118.60465116,118,119,0.60465116
61,120.58139535,120,121,0.58139535
62,122.55813953,122,123,0.55813953
63,124.53488372,124,125,0.53488372
64,126.51162791,126,127,0.51162791
65,128.48837209,128,129,0.48837209
66,130.46511628,130,131,0.46511628
67,132.44186047,132,133,0.44186047
68,134.41860465,134,135,0.41860465
69,136.39534884,136,137,0.39534884
70,138.37209302,138,139,0.37209302
71,140.34883721,140,141,0.34883721
72,142.32558140,142,143,0.32558140
73,144.30232558,144,145,0.30232558
74,146.27906977,146,147,0.27906977
75,148.25581395,148,149,0.25581395
76,150.23255814,150,151,0.23255814
77,152.20930233,152,153,0.20930233
78,154.18604651,154,155,0.18604651
79,156.16279070,156,157,0.16279070
80,158.13953488,158,159,0.13953488
81,160.11627907,160,161,0.11627907
82,162.09302326,162,163,0.09302326
83,164.06976744,164,165,0.06976744
84,166.04651163,166,167,0.04651163
85,168.02325581,168,169,0.02325581
86,170.00000000,170,170,0.00000000
87,171.97674419,171,172,0.97674419
88,173.95348837,173,174,0.95348837
89,175.93023256,175,176,0.93023256
90,177.90697674,177,178,0.90697674
91,179.88372093,179,180,0.88372093
92,181.86046512,181,182,0.86046512
93,183.83720930,183,184,0.83720930
94,185.81395349,185,186,0.81395349
95,187.79069767,187,188,0.79069767
96,189.76744186,189,190,0.76744186
97,191.74418605,191,192,0.74418605
98,193.72093023,193,194,0.72093023
99,195.69767442,195,196,0.69767442
100,197.67441860,197,198,0.67441860
101,199.65116279,199,200,0.65116279
102,201.62790698,201,202,0.62790698
103,203.60465116,203,204,0.60465116
104,205.58139535,205,206,0.58139535
105,207.55813953,207,208,0.55813953
106,209.53488372,209,210,0.53488372
107,211.51162791,211,212,0.51162791
108,213.48837209,213,214,0.48837209
109,215.46511628,215,216,0.46511628
110,217.44186047,217,218,0.44186047
111,219.41860465,219,220,0.41860465
112,221.39534884,221,222,0.39534884
113,223.37209302,223,224,0.37209302
114,225.34883721,225,226,0.34883721
115,227.32558140,227,228,0.32558140
116,229.30232558,229,230,0.30232558
117,231.27906977,231,232,0.27906977
118,233.25581395,233,234,0.25581395
119,235.23255814,235,236,0.23255814
120,237.20930233,237,238,0.20930233
121,239.18604651,239,240,0.18604651
122,241.16279070,241,242,0.16279070
123,243.13953488,243,244,0.13953488
124,245.11627907,245,246,0.11627907
125,247.09302326,247,248,0.09302326
126,249.06976744,249,250,0.06976744
127,251.04651163,251,252,0.04651163
128,253.02325581,253,254,0.02325581
129,255.00000000,255,255,0.00000000
