new_beam_index,theta_new_deg
0,-59.000000
1,-57.000000
2,-55.000000
3,-53.000000
4,-51.000000
5,-49.000000
6,-47.000000
7,-45.000000
8,-43.000000
9,-41.000000
10,-39.000000
11,-37.000000
12,-35.000000
13,-33.000000
14,-31.000000
15,-29.000000
16,-27.000000
17,-25.000000
18,-23.000000
19,-21.000000
20,-19.000000
21,-17.000000
22,-15.000000
23,-13.000000
24,-11.000000
25,-9.000000
26,-7.000000
27,-5.000000
28,-3.000000
29,-1.000000
30,1.000000
31,3.000000
32,5.000000
33,7.000000
34,9.000000
35,11.000000
36,13.000000
37,15.000000
38,17.000000
39,19.000000
40,21.000000
41,23.000000
42,25.000000
43,27.000000
44,29.000000
45,31.000000
46,33.000000
47,35.000000
48,37.000000
49,39.000000
50,41.000000
51,43.000000
52,45.000000
53,47.000000
54,49.000000
55,51.000000
56,53.000000
57,55.000000
58,57.000000
59,59.000000
60,61.000000
