new_beam_index,theta_new_deg,background_ref_angle_deg,source_mode,source_left_beam_index,source_left_angle_deg,source_right_beam_index,source_right_angle_deg,interp_weight,is_wrapped
0,-59.000000,-7.000000,direct,9,-7.000000,9,-7.000000,0.000000,true
1,-57.000000,-5.000000,direct,10,-5.000000,10,-5.000000,0.000000,true
2,-55.000000,-3.000000,direct,11,-3.000000,11,-3.000000,0.000000,true
3,-53.000000,-1.000000,direct,12,-1.000000,12,-1.000000,0.000000,true
4,-51.000000,1.000000,direct,13,1.000000,13,1.000000,0.000000,true
5,-49.000000,3.000000,direct,14,3.000000,14,3.000000,0.000000,true
6,-47.000000,5.000000,direct,15,5.000000,15,5.000000,0.000000,true
7,-45.000000,7.000000,direct,16,7.000000,16,7.000000,0.000000,true
8,-43.000000,9.000000,direct,17,9.000000,17,9.000000,0.000000,true
9,-41.000000,11.000000,direct,18,11.000000,18,11.000000,0.000000,true
10,-39.000000,13.000000,direct,19,13.000000,19,13.000000,0.000000,true
11,-37.000000,15.000000,direct,20,15.000000,20,15.000000,0.000000,true
12,-35.000000,17.000000,direct,21,17.000000,21,17.000000,0.000000,true
13,-33.000000,19.000000,direct,22,19.000000,22,19.000000,0.000000,true
14,-31.000000,21.000000,direct,23,21.000000,23,21.000000,0.000000,true
15,-29.000000,23.000000,direct,24,23.000000,24,23.000000,0.000000,true
16,-27.000000,25.000000,direct,25,25.000000,25,25.000000,0.000000,true
17,-25.000000,-25.000000,direct,0,-25.000000,0,-25.000000,0.000000,false
18,-23.000000,-23.000000,direct,1,-23.000000,1,-23.000000,0.000000,false
19,-21.000000,-21.000000,direct,2,-21.000000,2,-21.000000,0.000000,false
20,-19.000000,-19.000000,direct,3,-19.000000,3,-19.000000,0.000000,false
21,-17.000000,-17.000000,direct,4,-17.000000,4,-17.000000,0.000000,false
22,-15.000000,-15.000000,direct,5,-15.000000,5,-15.000000,0.000000,false
23,-13.000000,-13.000000,direct,6,-13.000000,6,-13.000000,0.000000,false
24,-11.000000,-11.000000,direct,7,-11.000000,7,-11.000000,0.000000,false
25,-9.000000,-9.000000,direct,8,-9.000000,8,-9.000000,0.000000,false
26,-7.000000,-7.000000,direct,9,-7.000000,9,-7.000000,0.000000,false
27,-5.000000,-5.000000,direct,10,-5.000000,10,-5.000000,0.000000,false
28,-3.000000,-3.000000,direct,11,-3.000000,11,-3.000000,0.000000,false
29,-1.000000,-1.000000,direct,12,-1.000000,12,-1.000000,0.000000,false
30,1.000000,1.000000,direct,13,1.000000,13,1.000000,0.000000,false
31,3.000000,3.000000,direct,14,3.000000,14,3.000000,0.000000,false
32,5.000000,5.000000,direct,15,5.000000,15,5.000000,0.000000,false
33,7.000000,7.000000,direct,16,7.000000,16,7.000000,0.000000,false
34,9.000000,9.000000,direct,17,9.000000,17,9.000000,0.000000,false
35,11.000000,11.000000,direct,18,11.000000,18,11.000000,0.000000,false
36,13.000000,13.000000,direct,19,13.000000,19,13.000000,0.000000,false
37,15.000000,15.000000,direct,20,15.000000,20,15.000000,0.000000,false
38,17.000000,17.000000,direct,21,17.000000,21,17.000000,0.000000,false
39,19.000000,19.000000,direct,22,19.000000,22,19.000000,0.000000,false
40,21.000000,21.000000,direct,23,21.000000,23,21.000000,0.000000,false
41,23.000000,23.000000,direct,24,23.000000,24,23.000000,0.000000,false
42,25.000000,25.000000,direct,25,25.000000,25,25.000000,0.000000,false
43,27.000000,-25.000000,direct,0,-25.000000,0,-25.000000,0.000000,true
44,29.000000,-23.000000,direct,1,-23.000000,1,-23.000000,0.000000,true
45,31.000000,-21.000000,direct,2,-21.000000,2,-21.000000,0.000000,true
46,33.000000,-19.000000,direct,3,-19.000000,3,-19.000000,0.000000,true
47,35.000000,-17.000000,direct,4,-17.000000,4,-17.000000,0.000000,true
48,37.000000,-15.000000,direct,5,-15.000000,5,-15.000000,0.000000,true
49,39.000000,-13.000000,direct,6,-13.000000,6,-13.000000,0.000000,true
50,41.000000,-11.000000,direct,7,-11.000000,7,-11.000000,0.000000,true
51,43.000000,-9.000000,direct,8,-9.000000,8,-9.000000,0.000000,true
52,45.000000,-7.000000,direct,9,-7.000000,9,-7.000000,0.000000,true
53,47.000000,-5.000000,direct,10,-5.000000,10,-5.000000,0.000000,true
54,49.000000,-3.000000,direct,11,-3.000000,11,-3.000000,0.000000,true
55,51.000000,-1.000000,direct,12,-1.000000,12,-1.000000,0.000000,true
56,53.000000,1.000000,direct,13,1.000000,13,1.000000,0.000000,true
57,55.000000,3.000000,direct,14,3.000000,14,3.000000,0.000000,true
58,57.000000,5.000000,direct,15,5.000000,15,5.000000,0.000000,true
59,59.000000,7.000000,direct,16,7.000000,16,7.000000,0.000000,true
60,61.000000,9.000000,direct,17,9.000000,17,9.000000,0.000000,true
