period_id,beam_id,target_id,visible_pulse_count,mean_range_m,mean_range_sample,mean_target_azimuth_deg,mean_beam_gain,mean_radial_velocity_mps,mean_target_amplitude,injected_sample_count
0,0,1,0,84997.5254192,4742.54719264,0,0,-49.875269696,32.3623878505,0
0,1,1,0,84992.537893,4740.55080103,0,0,-49.8752550385,17.9285761183,0
0,2,1,0,84987.5503682,4738.55441,0,0,-49.8752403783,1.77421660582,0
0,3,1,0,84982.5628449,4736.55801957,0,0,-49.8752257156,35.962993336,0
0,4,1,0,84977.575323,4734.56162972,0,0,-49.8752110503,34.2443866753,0
0,5,1,0,84972.5878027,4732.56524045,0,0,-49.8751963824,15.6449572994,0
0,6,1,0,84967.6002838,4730.56885177,0,0,-49.8751817119,37.4383428434,0
0,7,1,0,84962.6127663,4728.57246369,0,0,-49.8751670389,29.7627720314,0
0,8,1,0,84957.6252504,4726.57607618,0,0,-49.8751523632,1.77619308204,0
0,9,1,0,84952.6377359,4724.57968927,0,0,-49.875137685,43.7394147804,0
0,10,1,0,84947.6502228,4722.58330294,0,0,-49.8751230042,75.9755971033,0
0,11,1,0,84942.6627113,4720.5869172,0,0,-49.8751083208,91.2820759519,0
0,12,1,0,84937.6752012,4718.59053205,0,0,-49.8750936348,1.77701692389,0
0,13,1,0,84932.6876925,4716.59414749,0,0,-49.8750789462,333.400813039,0
0,14,1,0,84927.7001854,4714.59776351,0,0,-49.875064255,330.865575805,0
0,15,1,0,84922.7126797,4712.60138012,0,0,-49.8750495613,43.2115436134,0
0,16,1,0,84917.7251755,4710.60499732,0,0,-49.875034865,87.7060848007,0
0,17,1,0,84912.7376727,4708.60861511,0,0,-49.875020166,22.4779250757,0
0,18,1,0,84907.7501714,4706.61223349,0,0,-49.8750054645,5.17456573489,0
0,19,1,0,84902.7626716,4704.61585246,0,0,-49.8749907604,10.2454746727,0
0,20,1,0,84897.7751733,4702.61947201,0,0,-49.8749760537,86.3951365145,0
0,21,1,0,84892.7876764,4700.62309215,0,0,-49.8749613444,116.140859011,0
0,22,1,0,84887.800181,4698.62671288,0,0,-49.8749466325,19.3034289432,0
0,23,1,0,84882.8126871,4696.63033421,0,0,-49.874931918,41.2747261603,0
0,24,1,0,84877.8251946,4694.63395612,0,0,-49.874917201,32.6205664213,0
0,25,1,0,84872.8377036,4692.63757861,0,0,-49.8749024813,54.8697405131,0
0,26,1,0,84867.8502141,4690.6412017,0,0,-49.874887759,54.6570981892,0
0,27,1,0,84862.8627261,4688.64482538,0,0,-49.8748730342,45.4726094301,0
0,28,1,0,84857.8752395,4686.64844965,0,0,-49.8748583067,15.428066953,0
0,29,1,0,84852.8877544,4684.6520745,0,0,-49.8748435766,35.0968181119,0
0,30,1,130,84847.9002708,4682.65569995,0,1,-49.874828844,26.2599029892,927789
0,31,1,0,84842.9127887,4680.65932599,0,0,-49.8748141087,39.8418922855,0
0,32,1,0,84837.925308,4678.66295261,0,0,-49.8747993709,7.45672737627,0
0,33,1,0,84832.9378288,4676.66657983,0,0,-49.8747846304,27.8336079954,0
0,34,1,0,84827.9503511,4674.67020763,0,0,-49.8747698874,26.754654572,0
0,35,1,0,84822.9628748,4672.67383603,0,0,-49.8747551418,12.451975301,0
0,36,1,0,84817.9754,4670.67746502,0,0,-49.8747403935,14.2278644704,0
0,37,1,0,84812.9879267,4668.68109459,0,0,-49.8747256427,31.6649167112,0
0,38,1,0,84808.0004549,4666.68472476,0,0,-49.8747108892,41.904745524,0
0,39,1,0,84803.0129845,4664.68835552,0,0,-49.8746961331,37.935501603,0
0,40,1,0,84798.0255157,4662.69198687,0,0,-49.8746813745,36.83946474,0
0,41,1,0,84793.0380483,4660.69561881,0,0,-49.8746666132,27.4551026476,0
0,42,1,0,84788.0505823,4658.69925134,0,0,-49.8746518493,34.5025084329,0
0,43,1,0,84783.0631179,4656.70288446,0,0,-49.8746370829,35.0923977846,0
0,44,1,0,84778.0756549,4654.70651817,0,0,-49.8746223138,31.0099463471,0
0,45,1,0,84773.0881934,4652.71015248,0,0,-49.8746075421,13.6127426357,0
0,46,1,0,84768.1007334,4650.71378737,0,0,-49.8745927678,19.3801561637,0
0,47,1,0,84763.1132749,4648.71742286,0,0,-49.8745779909,36.3387958409,0
0,48,1,0,84758.1258178,4646.72105894,0,0,-49.8745632114,35.9380080013,0
0,49,1,0,84753.1383622,4644.72469561,0,0,-49.8745484293,47.9613828203,0
0,50,1,0,84748.1509081,4642.72833287,0,0,-49.8745336445,23.227268294,0
0,51,1,0,84743.1634555,4640.73197072,0,0,-49.8745188572,58.2920016037,0
0,52,1,0,84738.1760044,4638.73560917,0,0,-49.8745040672,49.7443885336,0
0,53,1,0,84733.1885547,4636.7392482,0,0,-49.8744892747,47.103158574,0
0,54,1,0,84728.2011065,4634.74288783,0,0,-49.8744744795,18.2454376697,0
0,55,1,0,84723.2136598,4632.74652805,0,0,-49.8744596817,57.8635542513,0
0,56,1,0,84718.2262146,4630.75016887,0,0,-49.8744448813,30.4083968326,0
0,57,1,0,84713.2387708,4628.75381027,0,0,-49.8744300783,43.3932506674,0
0,58,1,0,84708.2513286,4626.75745227,0,0,-49.8744152726,28.5906749178,0
0,59,1,0,84703.2638878,4624.76109487,0,0,-49.8744004644,13.7326141318,0
0,60,1,0,84698.2764485,4622.76473805,0,0,-49.8743856535,50.7630825014,0
