scatterer_id,type,x_m,y_m,z_m,amplitude,phase_rad,rcs_db,initial_range_m,initial_azimuth_deg
1001,strong,62031.0968862,-64415.2715097,0,19.412968691,5.59828709303,25.7618390824,89628.0323592,-46.0801967694
1002,strong,74272.7642042,-48970.7342276,0,24.4373005843,1.57982747092,27.7610646156,89166.0042467,-33.3983168977
1003,strong,85956.6221421,16255.6824812,0,12.9364395284,5.10633229964,22.2362952547,87685.7348889,10.7090164783
1004,strong,80838.7863325,44461.7723026,0,29.9141228126,5.37285003611,29.5175254464,92454.0889956,28.8110330739
1005,strong,59541.4567942,-62221.5678352,0,7.39517008574,4.03182731764,17.3789633407,86329.071471,-46.26092679
1006,strong,79087.5618903,-25281.6465707,0,3.91025808664,3.88722850309,11.8441084569,83246.6461731,-17.7273383488
1007,strong,67148.7792301,-54923.205722,0,8.64195975121,5.84315757694,18.7322447862,86956.9840719,-39.280867874
1008,strong,77655.1788258,-48646.1180361,0,8.88631750166,4.08132338101,18.9744365242,91830.1235894,-32.0645730784
1009,strong,69400.5443442,-45133.295091,0,18.5121319906,1.92143940887,25.3491287623,83002.7100825,-33.0371800454
1010,strong,74275.0559013,50991.931137,0,24.6019426658,0.173248145341,27.819388041,90293.7482344,34.4707021873
1011,strong,81573.8138747,38036.668834,0,5.20889141493,5.96803222813,14.3349060836,90205.7386536,24.9989469314
1012,strong,84480.1156247,21921.8331036,0,20.9909381407,1.2397906271,26.4406369758,87484.0368444,14.5468980592
1013,strong,87396.6728219,8566.48085043,0,4.54354880073,0.678087151864,13.1479039405,88020.2420725,5.59815726801
1014,strong,80508.1358542,32823.1584723,0,16.9525391318,2.07456249121,24.5846951108,87148.8363136,22.1807170259
1015,strong,81536.5285819,-26349.8272856,0,5.02483277807,1.87525873464,14.022432268,85898.3055198,-17.9090646039
1016,strong,77872.284325,47225.7259652,0,4.06788004039,4.6995583298,12.1873627465,91270.8160309,31.2347596937
1017,strong,68965.7960571,59015.4963516,0,19.0561456629,1.46544302478,25.6007012769,90967.6307013,40.5543065042
1018,strong,80333.7011132,38946.97217,0,19.7453202052,3.28443186091,25.9092836196,89478.322379,25.8647969673
1019,strong,63595.4341446,-57093.1918216,0,29.0836797668,4.73691750881,29.2729870818,85673.8688073,-41.9161036917
1020,strong,90255.2550412,-19261.2163589,0,3.40809412915,2.92465510537,10.6502316233,92482.4605976,-12.046680839
